Date,SPY,GLD,TLT,XLE,MSFT,JPM
2016-10-25,184.32876586914062,121.47000122070312,102.9515380859375,23.66574478149414,54.500709533691406,53.80022430419922
2016-10-26,183.9586639404297,120.79000091552734,102.25531768798828,23.720094680786133,54.17900848388672,54.05828857421875
2016-10-27,183.4680938720703,121.01000213623047,101.141357421875,23.63176727294922,53.70539855957031,54.13648223876953
2016-10-28,182.92588806152344,121.58000183105469,100.9169692993164,23.567216873168945,53.499874114990234,54.04264450073242
2016-10-31,182.9344940185547,121.94000244140625,101.53585052490234,23.312419891357422,53.5445556640625,54.15993118286133
2016-11-01,181.60906982421875,122.7300033569336,101.54363250732422,23.315814971923828,53.437313079833984,53.933189392089844
2016-11-02,180.5160369873047,123.63999938964844,101.98541259765625,23.0576229095459,53.10668182373047,53.706390380859375
2016-11-03,179.68975830078125,124.30000305175781,101.20260620117188,23.149351119995117,52.910091400146484,53.47178649902344
2016-11-04,179.49183654785156,124.38999938964844,102.10943603515625,23.02364730834961,52.46329879760742,52.986976623535156
2016-11-07,183.45086669921875,122.1500015258789,101.24131774902344,23.5196590423584,53.991355895996094,54.64476013183594
2016-11-08,184.27713012695312,121.63999938964844,100.83052825927734,23.550233840942383,54.036033630371094,54.76207733154297
2016-11-09,186.23081970214844,121.55999755859375,96.55205535888672,23.93412971496582,53.7679557800293,57.28003692626953
2016-11-10,186.6956024169922,119.75,95.12593078613281,24.03604507446289,52.4543571472168,59.93877029418945
2016-11-11,186.26522827148438,117.0999984741211,94.59111022949219,23.597793579101562,52.74031448364258,59.97004318237305
2016-11-14,186.41159057617188,116.11000061035156,94.02530670166016,23.730289459228516,51.93606948852539,62.17522430419922
2016-11-15,187.86610412597656,117.12000274658203,94.4903335571289,24.399555206298828,52.9616584777832,62.05794143676758
2016-11-16,187.5132293701172,116.7699966430664,95.34294891357422,24.229692459106445,53.66337585449219,60.525264739990234
2016-11-17,188.4771728515625,116.16999816894531,93.94001770019531,24.066612243652344,54.55400466918945,61.01009750366211
2016-11-18,188.05545043945312,115.1500015258789,93.66876220703125,24.16513442993164,54.29311752319336,60.767677307128906
2016-11-21,189.4755859375,115.58000183105469,93.90127563476562,24.73929214477539,54.75193405151367,61.03354263305664
2016-11-22,189.84567260742188,115.54000091552734,93.87029266357422,24.7257022857666,54.985843658447266,61.408878326416016
2016-11-23,189.94891357421875,113.25,93.50601959228516,24.827619552612305,54.338096618652344,61.666954040527344
2016-11-25,190.65463256835938,112.61000061035156,93.6455307006836,24.70531463623047,54.4550666809082,61.64350509643555
2016-11-28,189.759521484375,113.80000305175781,94.3353500366211,24.362186431884766,54.527034759521484,61.24467468261719
2016-11-29,190.12966918945312,113.2699966430664,94.73060607910156,24.06322479248047,54.9588508605957,61.7138671875
2016-11-30,189.67349243164062,111.75,93.19598388671875,25.2862606048584,54.212154388427734,62.691349029541016
2016-12-01,188.9763946533203,111.54000091552734,92.21194458007812,25.347412109375,53.2585334777832,63.958160400390625
2016-12-02,189.07106018066406,112.13999938964844,92.88764190673828,25.422151565551758,53.30351638793945,63.809593200683594
2016-12-05,190.2071075439453,111.54000091552734,92.78665161132812,25.646377563476562,54.17617416381836,65.10768127441406
2016-12-06,190.80953979492188,111.43000030517578,92.716796875,25.598812103271484,53.933258056640625,65.44390106201172
2016-12-07,193.30548095703125,111.83000183105469,93.50897979736328,25.802656173706055,55.210750579833984,65.74108123779297
2016-12-08,193.77886962890625,111.56999969482422,92.4061279296875,25.941944122314453,54.88689041137695,66.56214904785156
2016-12-09,194.94937133789062,110.4000015258789,91.25665283203125,26.023481369018555,55.75053787231445,66.85147094726562
2016-12-12,194.7255859375,110.81999969482422,91.42752075195312,26.145788192749023,55.93047332763672,66.25716400146484
2016-12-13,196.0251922607422,110.44999694824219,91.7536849975586,26.441349029541016,56.65916061401367,66.2806167602539
2016-12-14,194.40716552734375,108.83000183105469,90.72852325439453,25.91136360168457,56.38927459716797,66.25716400146484
2016-12-15,195.2075653076172,107.33999633789062,91.18675231933594,25.96912384033203,56.29930877685547,67.25029754638672
2016-12-16,194.8258056640625,108.05000305175781,90.97705078125,26.130329132080078,56.047420501708984,66.42139434814453
2016-12-19,195.25,108.58999633789062,91.95565032958984,26.010784149169922,57.23493194580078,66.8045425415039
2016-12-20,196.00323486328125,107.79000091552734,91.49740600585938,25.95273208618164,57.1629638671875,67.66473388671875
2016-12-21,195.45777893066406,107.8499984741211,91.90128326416016,25.993711471557617,57.1629638671875,67.83677673339844
2016-12-22,195.12017822265625,107.58999633789062,91.73695373535156,26.099584579467773,57.171966552734375,67.94625091552734
2016-12-23,195.40585327148438,107.93000030517578,91.92387390136719,26.075668334960938,56.89306640625,68.07134246826172
2016-12-27,195.89065551757812,108.55999755859375,91.6279525756836,26.13374137878418,56.929054260253906,68.13392639160156
2016-12-28,194.271728515625,108.86000061035156,92.29759216308594,25.850269317626953,56.66817092895508,67.64127349853516
2016-12-29,194.2284698486328,110.29000091552734,92.62467193603516,25.799034118652344,56.587196350097656,67.16426086425781
2016-12-30,193.51856994628906,109.61000061035156,92.76483154296875,25.723909378051758,55.903472900390625,67.47705841064453
2017-01-03,194.99891662597656,110.47000122070312,93.16195678710938,26.014204025268555,56.29930877685547,68.21214294433594
2017-01-04,196.15902709960938,110.86000061035156,93.52014923095703,25.959564208984375,56.047420501708984,68.33792114257812
2017-01-05,196.00323486328125,112.58000183105469,94.9841079711914,25.89466667175293,56.047420501708984,67.70890045166016
2017-01-06,196.70445251464844,111.75,94.1119613647461,25.918577194213867,56.53321838378906,67.71675872802734
2017-01-09,196.05514526367188,112.66999816894531,94.86727905273438,25.542890548706055,56.35329055786133,67.76390838623047
2017-01-10,196.05514526367188,113.1500015258789,94.80498504638672,25.310657501220703,56.33529281616211,67.96051025390625
2017-01-11,196.60922241210938,113.5,95.12422943115234,25.583877563476562,56.84809494018555,68.47162628173828
2017-01-12,196.1157684326172,113.91000366210938,94.91402435302734,25.477996826171875,56.3263053894043,67.81111145019531
2017-01-13,196.56594848632812,114.20999908447266,94.46237182617188,25.402868270874023,56.40727996826172,68.17281341552734
2017-01-17,195.8733673095703,115.8499984741211,95.4513168334961,25.559961318969727,56.25432205200195,65.69593811035156
2017-01-18,196.3061981201172,114.87000274658203,94.22876739501953,25.501911163330078,56.22734069824219,66.00261688232422
2017-01-19,195.5790252685547,114.7699966430664,93.58251190185547,25.361894607543945,56.047420501708984,65.4993667602539
2017-01-20,196.2975311279297,115.05000305175781,93.39562225341797,25.457509994506836,56.44325637817383,65.79029083251953
2017-01-23,195.78675842285156,115.79000091552734,94.32997131347656,25.187707901000977,56.64117431640625,65.82176208496094
2017-01-24,197.0421142578125,115.2699966430664,93.68368530273438,25.46433448791504,57.144981384277344,66.61592102050781
2017-01-25,198.74758911132812,114.31999969482422,92.5079116821289,25.597537994384766,57.288909912109375,67.64600372314453
2017-01-26,198.53977966308594,113.26000213623047,92.81936645507812,25.61802864074707,57.819698333740234,68.21214294433594
2017-01-27,198.22811889648438,113.48999786376953,93.15420532226562,25.35163688659668,59.17814254760742,68.3536376953125
2017-01-30,196.99880981445312,113.97000122070312,92.87386322021484,24.887165069580078,58.593387603759766,67.64600372314453
2017-01-31,196.98147583007812,115.55000305175781,93.52014923095703,24.897401809692383,58.16155242919922,66.5451431274414
2017-02-01,197.0594024658203,115.19999694824219,92.94192504882812,24.712982177734375,57.198951721191406,66.79676055908203
2017-02-02,197.1892852783203,115.83999633789062,92.9029312133789,24.853002548217773,56.830101013183594,66.51368713378906
2017-02-03,198.54849243164062,116.12999725341797,92.86386108398438,25.06817054748535,57.288909912109375,68.55024719238281
2017-02-06,198.19349670410156,117.69999694824219,93.42573547363281,24.85642433166504,57.2529411315918,68.22785949707031
